scenario,seed,model,acc,fit,pred,arity,n_features,noise
7-way XOR / 22 feat,13,MLP(256-128-64),0.51,8.602148375008255,0.002432459034025669,7,22,0.0
7-way XOR / 22 feat,13,"SVM(poly,d=6)",0.5175,0.6650028331205249,0.13909808406606317,7,22,0.0
7-way XOR / 22 feat,13,WSRF,0.772,28.6908103749156,4.449641750194132,7,22,0.0
7-way XOR / 22 feat,31,LogisticRegression,0.504,1.967496749944985,0.00022808369249105453,7,22,0.0
7-way XOR / 22 feat,31,RandomForest(500),0.5145,1.902287374716252,0.05061083287000656,7,22,0.0
7-way XOR / 22 feat,31,GradientBoosting(300),0.5005,17.51368366694078,0.006247584242373705,7,22,0.0
7-way XOR / 22 feat,31,XGBoost(500),0.5065,1.1037727920338511,0.002883332781493664,7,22,0.0
7-way XOR / 22 feat,31,MLP(256-128-64),0.493,8.789549707900733,0.001799082849174738,7,22,0.0
7-way XOR / 22 feat,31,"SVM(poly,d=6)",0.5065,0.6553349578753114,0.13894204096868634,7,22,0.0
7-way XOR / 22 feat,31,WSRF,0.7405,42.240449165925384,5.676423958037049,7,22,0.0
7-way XOR / 22 feat,47,LogisticRegression,0.5035,2.025976417120546,0.0006808750331401825,7,22,0.0
7-way XOR / 22 feat,47,RandomForest(500),0.496,2.104894040618092,0.049607791006565094,7,22,0.0
7-way XOR / 22 feat,47,GradientBoosting(300),0.493,17.56857620878145,0.006465875077992678,7,22,0.0
7-way XOR / 22 feat,47,XGBoost(500),0.4885,1.1440302906557918,0.002920083235949278,7,22,0.0
7-way XOR / 22 feat,47,MLP(256-128-64),0.493,8.627867875155061,0.0016717500984668732,7,22,0.0
7-way XOR / 22 feat,47,"SVM(poly,d=6)",0.5,0.6640425827354193,0.13903816603124142,7,22,0.0
7-way XOR / 22 feat,47,WSRF,0.7175,39.135810791980475,3.9628736660815775,7,22,0.0
7-way XOR / 22 feat,59,LogisticRegression,0.5095,1.9944254579022527,0.0005002091638743877,7,22,0.0
7-way XOR / 22 feat,59,RandomForest(500),0.509,2.152908875141293,0.05114745767787099,7,22,0.0
7-way XOR / 22 feat,59,GradientBoosting(300),0.485,17.41580191673711,0.005964625161141157,7,22,0.0
7-way XOR / 22 feat,59,XGBoost(500),0.4815,1.1390330828726292,0.0031162500381469727,7,22,0.0
7-way XOR / 22 feat,59,MLP(256-128-64),0.5215,8.562585583422333,0.0017429166473448277,7,22,0.0
7-way XOR / 22 feat,59,"SVM(poly,d=6)",0.501,0.6465037083253264,0.13857670780271292,7,22,0.0
7-way XOR / 22 feat,59,WSRF,0.694,29.186100125312805,4.305876875296235,7,22,0.0
7-way XOR / 22 feat,71,LogisticRegression,0.5175,1.9646367910318077,0.0014499579556286335,7,22,0.0
7-way XOR / 22 feat,71,RandomForest(500),0.5245,2.081149334087968,0.04996300023049116,7,22,0.0
7-way XOR / 22 feat,71,GradientBoosting(300),0.5165,17.281380125321448,0.006267332937568426,7,22,0.0
7-way XOR / 22 feat,71,XGBoost(500),0.499,1.097596500068903,0.0027402923442423344,7,22,0.0
7-way XOR / 22 feat,71,MLP(256-128-64),0.5105,8.517064583022147,0.001961749978363514,7,22,0.0
7-way XOR / 22 feat,71,"SVM(poly,d=6)",0.4975,0.6712652500718832,0.139378665946424,7,22,0.0
7-way XOR / 22 feat,71,WSRF,0.7555,162.22772879200056,7.141816041432321,7,22,0.0
8-way XOR / 24 feat,13,LogisticRegression,0.492,2.0255387080833316,0.0005220831371843815,8,24,0.0
8-way XOR / 24 feat,13,RandomForest(500),0.4896,2.711239665746689,0.06275741569697857,8,24,0.0
8-way XOR / 24 feat,13,GradientBoosting(300),0.49,24.43804404186085,0.007679915986955166,8,24,0.0
8-way XOR / 24 feat,13,XGBoost(500),0.5056,1.215128917247057,0.0033316249027848244,8,24,0.0
8-way XOR / 24 feat,13,MLP(256-128-64),0.51,9.546882207971066,0.0036883330903947353,8,24,0.0
8-way XOR / 24 feat,13,"SVM(poly,d=6)",0.488,1.1185057922266424,0.22423512488603592,8,24,0.0
8-way XOR / 24 feat,13,WSRF,0.7356,137.25107008311898,16.95469875028357,8,24,0.0
8-way XOR / 24 feat,31,LogisticRegression,0.5004,2.0087779997847974,0.0012055831030011177,8,24,0.0
8-way XOR / 24 feat,31,RandomForest(500),0.4944,2.727467375341803,0.052903249859809875,8,24,0.0
8-way XOR / 24 feat,31,GradientBoosting(300),0.4916,24.189952957909554,0.00726774986833334,8,24,0.0
8-way XOR / 24 feat,31,XGBoost(500),0.5064,1.150852665770799,0.00354962470009923,8,24,0.0
8-way XOR / 24 feat,31,MLP(256-128-64),0.4876,9.886814958881587,0.0021740421652793884,8,24,0.0
8-way XOR / 24 feat,31,"SVM(poly,d=6)",0.5136,1.0895329173654318,0.2230509170331061,8,24,0.0
8-way XOR / 24 feat,31,WSRF,0.712,168.84541237493977,20.38165150023997,8,24,0.0
8-way XOR / 24 feat,47,LogisticRegression,0.504,2.0439823754131794,0.00088900001719594,8,24,0.0
8-way XOR / 24 feat,47,RandomForest(500),0.504,2.7027656668797135,0.061758833937346935,8,24,0.0
8-way XOR / 24 feat,47,GradientBoosting(300),0.5024,23.999508791137487,0.007789332885295153,8,24,0.0
8-way XOR / 24 feat,47,XGBoost(500),0.4944,1.1893085837364197,0.0035854997113347054,8,24,0.0
8-way XOR / 24 feat,47,MLP(256-128-64),0.482,9.683628916740417,0.002102041617035866,8,24,0.0
8-way XOR / 24 feat,47,"SVM(poly,d=6)",0.4944,1.102630625013262,0.22212379099801183,8,24,0.0
8-way XOR / 24 feat,47,WSRF,0.7604,134.04297008365393,9.26056204084307,8,24,0.0
noise 0%,13,LogisticRegression,0.504,0.9398330831900239,0.0004126657731831074,5,16,0.0
noise 0%,13,RandomForest(500),0.5005,2.2452140422537923,0.052820083219558,5,16,0.0
noise 0%,13,GradientBoosting(300),0.509,12.71566120814532,0.006536915898323059,5,16,0.0
noise 0%,13,XGBoost(500),0.511,1.0609838753007352,0.0029325829818844795,5,16,0.0
noise 0%,13,MLP(256-128-64),0.5845,10.521415375173092,0.0016549997963011265,5,16,0.0
noise 0%,13,"SVM(poly,d=6)",0.4895,0.623603249900043,0.12986466707661748,5,16,0.0
noise 0%,13,WSRF,0.9705,6.82090916717425,0.03310074983164668,5,16,0.0
noise 0%,31,LogisticRegression,0.499,0.8858852088451385,0.0002176249399781227,5,16,0.0
noise 0%,31,RandomForest(500),0.506,2.104880291968584,0.052270208951085806,5,16,0.0
noise 0%,31,GradientBoosting(300),0.505,13.100589124951512,0.006033250130712986,5,16,0.0
noise 0%,31,XGBoost(500),0.506,1.0561460829339921,0.002687667030841112,5,16,0.0
noise 0%,31,MLP(256-128-64),0.5445,11.304145250003785,0.001681667286902666,5,16,0.0
noise 0%,31,"SVM(poly,d=6)",0.513,0.6195628750137985,0.13163975020870566,5,16,0.0
noise 0%,31,WSRF,0.972,6.911927625071257,0.07091270806267858,5,16,0.0
noise 0%,47,LogisticRegression,0.509,0.9430566248483956,0.00022066710516810417,5,16,0.0
noise 0%,47,RandomForest(500),0.5135,2.141687790863216,0.05111850006505847,5,16,0.0
noise 0%,47,GradientBoosting(300),0.522,12.7742482079193,0.0062068747356534,5,16,0.0
noise 0%,47,XGBoost(500),0.499,1.0922396248206496,0.003118916880339384,5,16,0.0
noise 0%,47,MLP(256-128-64),0.541,11.34488295763731,0.0019330410286784172,5,16,0.0
noise 0%,47,"SVM(poly,d=6)",0.502,0.6130576250143349,0.13149895798414946,5,16,0.0
noise 0%,47,WSRF,0.852,6.399420708883554,0.15931674977764487,5,16,0.0
noise 5%,13,LogisticRegression,0.5005,0.01334475027397275,0.00016974983736872673,5,16,0.05
noise 5%,13,RandomForest(500),0.493,2.303048042114824,0.05250670900568366,5,16,0.05
noise 5%,13,GradientBoosting(300),0.503,12.820650374982506,0.006130666937679052,5,16,0.05
noise 5%,13,XGBoost(500),0.4975,1.0476976251229644,0.003029082901775837,5,16,0.05
noise 5%,13,MLP(256-128-64),0.5335,10.530270083341748,0.0016698329709470272,5,16,0.05
noise 5%,13,"SVM(poly,d=6)",0.48,0.6091629578731954,0.13198508322238922,5,16,0.05
noise 5%,13,WSRF,0.85,10.357241791207343,0.7554708332754672,5,16,0.05
